Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"godot::Transform3D::rotated_local",0.0120262,0.0260085,0.614667,1.32931,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\src\variant\transform3d.cpp",71
"godot::StringName::~StringName",0.0020026,0.0020026,0.102354,0.102354,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\variant\string_name.cpp",374
"godot::Variant::Variant",0.0020418,0.0020418,0.104358,0.104358,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\include\godot_cpp\variant\variant.hpp",48
"godot::Variant::Variant",0,0.0019974,0,0.102088,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\src\variant\variant.cpp",165
"godot::Variant::set",0,0,0,0,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\src\variant\variant.cpp",573
"godot::Object::call_internal",0,0.0180402,0,0.922046,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\object.cpp",201
"godot::Node::get_children",0,0,0,0,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\node.cpp",110
"godot::Engine::get_singleton",0,0.0180493,0,0.922511,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\engine.cpp",234
"godot::Input::get_action_strength",0.0019998,0.011997,0.102211,0.613174,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\input.cpp",138
"godot::Input::get_axis",0.0020006,0.0119758,0.102252,0.612091,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\input.cpp",149
"godot::Input::is_action_just_pressed",0.0019971,0.0239332,0.102073,1.22324,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\gen\src\classes\input.cpp",122
"godot::Quaternion::Quaternion",0,0.0039905,0,0.203957,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\src\variant\quaternion.cpp",321
"godot::Quaternion::slerp",0.0040019,0.0040019,0.20454,0.20454,"libgamesim.windows.template_debug.x86_64","B:\programming\raylib-game-template-main\projects\gdextension_mxto_sim\godot-cpp\src\variant\quaternion.cpp",149
"operator delete",0.0020028,0.0020028,0.102364,0.102364,"libgamesim.windows.template_debug.x86_64","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\heap\delete_scalar_size.cpp",30
"operator new",0.0760189,0.0760189,3.88537,3.88537,"libgamesim.windows.template_debug.x86_64","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\heap\new_scalar.cpp",36
"FindSITargetTypeInstance",0.0539674,0.0539674,2.75831,2.75831,"libgamesim.windows.template_debug.x86_64","D:\a\_work\1\s\src\vctools\crt\vcruntime\src\eh\rtti.cpp",382
"__RTDynamicCast",0.0219996,0.075967,1.12441,3.88272,"libgamesim.windows.template_debug.x86_64","D:\a\_work\1\s\src\vctools\crt\vcruntime\src\eh\rtti.cpp",212
"fmaxf",0.0960416,0.148084,4.90875,7.56869,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\tran\_fmax.h",5
"malloc",0,0,0,0,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\heap\malloc.cpp",21
"fminf",0.0861187,0.158124,4.40158,8.08182,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\tran\_fmin.h",5
"cosf",0.0079882,0.0079882,0.408282,0.408282,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\tran\amd64\cosf.asm",426
"sinf",0.0079851,0.0079851,0.408123,0.408123,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\tran\amd64\sinf.asm",519
"_fdtest_inline",0.124048,0.124048,6.34018,6.34018,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\tran\_test.c",84
"_free_base",0.0019738,0.0600023,0.100882,3.06676,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\heap\free_base.cpp",105
"_malloc_base",0,0,0,0,"libgamesim.windows.template_debug.x86_64","minkernel\crts\ucrt\src\appcrt\heap\malloc_base.cpp",34
"OW_DestroyInstance",0,0,0,0,"owclient","[unknown]",0
"base::CriticalSection::TryLock",0,0,0,0,"owclient","[unknown]",0
"vkCmdPipelineBarrier",0,0,0,0,"vulkan-1","[unknown]",0
"vkCmdEndRenderPass",0,0,0,0,"vulkan-1","[unknown]",0
"vkCmdBeginRenderPass",0,0,0,0,"vulkan-1","[unknown]",0
"vkResetEvent",0,0,0,0,"vulkan-1","[unknown]",0
"[00007FFED5FF458A]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF49D9]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF4A04]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF4A10]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF4AAF]",0,0.0039923,0,0.204049,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF4ADD]",0,0.0040034,0,0.204616,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF518E]",0.0020043,0.0020043,0.102441,0.102441,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF51D8]",0,0.0119919,0,0.612914,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF6765]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF7DC0]",0.0020022,0.0020022,0.102334,0.102334,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF7F41]",0,0.0139962,0,0.715355,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FF9696]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FFAEBD]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FFAFC9]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED5FFB4B9]",0,0.0139962,0,0.715355,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600C338]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600CCA4]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600D47A]",0,0.0019972,0,0.102078,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600D693]",0,0.0079957,0,0.408665,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600D698]",0.001999,0.001999,0.10217,0.10217,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600DD38]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600DD5A]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600DE47]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600DEC0]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600E5A4]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED600E7BC]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED60159E7]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED6016450]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED60168CD]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED60177F9]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED602051B]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED602053E]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED6033CE1]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED60594D6]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED60594FD]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"[00007FFED6059514]",0,0,0,0,"libdd3d.windows.editor.x86_64","",0
"debug_draw_3d_library_init",0,0.0159984,0,0.817688,"libdd3d.windows.editor.x86_64","[unknown]",0
"dummy_debug_proc",0,0,0,0,"ow-graphics-hook64","[unknown]",0
"dummy_debug_proc",0,0,0,0,"graphics-hook64","[unknown]",0
"Ordinal100",0,0,0,0,"XInput1_4","[unknown]",0
"XInputGetKeystroke",0,0,0,0,"XInput1_4","[unknown]",0
"Ordinal44",0,0,0,0,"uxtheme","[unknown]",0
"GetImmersiveUserColorSetPreference",0,0,0,0,"uxtheme","[unknown]",0
"IsCompositionActive",0,0,0,0,"uxtheme","[unknown]",0
"Ordinal101",0,0,0,0,"uxtheme","[unknown]",0
"WaitForSingleObjectEx",0,0,0,0,"KERNELBASE","[unknown]",0
"DeviceIoControl",0,0,0,0,"KERNELBASE","[unknown]",0
"ReleaseMutex",0,0,0,0,"KERNELBASE","[unknown]",0
"GetLastError",0,0,0,0,"KERNELBASE","[unknown]",0
"WaitForMultipleObjects",0,0,0,0,"KERNELBASE","[unknown]",0
"WaitForMultipleObjectsEx",0,0,0,0,"KERNELBASE","[unknown]",0
"GlobalFree",0,0,0,0,"KERNELBASE","[unknown]",0
"GlobalAlloc",0,0,0,0,"KERNELBASE","[unknown]",0
"GetSystemTimeAsFileTime",0,0,0,0,"KERNELBASE","[unknown]",0
"MulDiv",0,0,0,0,"KERNELBASE","[unknown]",0
"SetEvent",0,0,0,0,"KERNELBASE","[unknown]",0
"ResetEvent",0,0,0,0,"KERNELBASE","[unknown]",0
"ReleaseSemaphore",0,0,0,0,"KERNELBASE","[unknown]",0
"FlushFileBuffers",0,0,0,0,"KERNELBASE","[unknown]",0
"NtUserGetThreadState",0,0,0,0,"win32u","[unknown]",0
"NtUserPeekMessage",0,0,0,0,"win32u","[unknown]",0
"NtUserMessageCall",0,0,0,0,"win32u","[unknown]",0
"NtUserWindowFromPoint",0,0,0,0,"win32u","[unknown]",0
"NtUserSetCursor",0,0,0,0,"win32u","[unknown]",0
"NtUserCallTwoParam",0,0,0,0,"win32u","[unknown]",0
"NtUserEnumDisplayMonitors",0,0,0,0,"win32u","[unknown]",0
"NtUserSetFocus",0,0,0,0,"win32u","[unknown]",0
"NtUserGetKeyboardState",0,0,0,0,"win32u","[unknown]",0
"NtUserGetTitleBarInfo",0,0,0,0,"win32u","[unknown]",0
"NtGdiDdDDISubmitCommandToHwQueue",0,0,0,0,"win32u","[unknown]",0
"NtGdiDdDDISubmitSignalSyncObjectsToHwQueue",0,0,0,0,"win32u","[unknown]",0
"NtGdiDdDDISubmitWaitForSyncObjectsToHwQueue",0,0,0,0,"win32u","[unknown]",0
"NtUserGetRawInputData",0,0,0,0,"win32u","[unknown]",0
"NtUserIsNonClientDpiScalingEnabled",0,0,0,0,"win32u","[unknown]",0
"NtUserNotifyIMEStatus",0,0,0,0,"win32u","[unknown]",0
"NtUserRegisterRawInputDevices",0,0,0,0,"win32u","[unknown]",0
"TlsGetValue",0,0,0,0,"KERNEL32","[unknown]",0
"GetCurrentThreadId",0,0,0,0,"KERNEL32","[unknown]",0
"DeviceIoControl",0,0,0,0,"KERNEL32","[unknown]",0
"GlobalFree",0,0,0,0,"KERNEL32","[unknown]",0
"GetLastError",0,0,0,0,"KERNEL32","[unknown]",0
"SetLastError",0,0,0,0,"KERNEL32","[unknown]",0
"BaseThreadInitThunk",0,0,0,0,"KERNEL32","[unknown]",0
"BasepGetPackageActivationTokenForSxS",0,0,0,0,"KERNEL32","[unknown]",0
"ImmSetActiveContext",0,0,0,0,"IMM32","[unknown]",0
"GetPropW",0,0,0,0,"USER32","[unknown]",0
"GetWindowTextLengthW",0,0,0,0,"USER32","[unknown]",0
"PeekMessageW",0,0,0,0,"USER32","[unknown]",0
"GetDesktopWindow",0,0,0,0,"USER32","[unknown]",0
"GetWindowTextW",0,0,0,0,"USER32","[unknown]",0
"DispatchMessageW",0,0,0,0,"USER32","[unknown]",0
"CallWindowProcW",0,0,0,0,"USER32","[unknown]",0
"GetClientRect",0,0,0,0,"USER32","[unknown]",0
"EnableScrollBar",0,0,0,0,"USER32","[unknown]",0
"MonitorFromRect",0,0,0,0,"USER32","[unknown]",0
"IntersectRect",0,0,0,0,"USER32","[unknown]",0
"GetDpiForWindow",0,0,0,0,"USER32","[unknown]",0
"SendMessageTimeoutW",0,0,0,0,"USER32","[unknown]",0
"MonitorFromWindow",0,0,0,0,"USER32","[unknown]",0
"GetMonitorInfoA",0,0,0,0,"USER32","[unknown]",0
"SetWindowsHookExAW",0,0,0,0,"USER32","[unknown]",0
"calloc",0,0,0,0,"msvcrt","[unknown]",0
"free",0,0,0,0,"msvcrt","[unknown]",0
"malloc",0.0039905,0.0039905,0.203957,0.203957,"msvcrt","[unknown]",0
"realloc",0,0,0,0,"msvcrt","[unknown]",0
"memcmp",0,0,0,0,"msvcrt","[unknown]",0
"strcmp",0,0,0,0,"msvcrt","[unknown]",0
"strlen",0.0020027,0.0020027,0.102359,0.102359,"msvcrt","[unknown]",0
"memcpy",0,0,0,0,"msvcrt","[unknown]",0
"memset",0,0,0,0,"msvcrt","[unknown]",0
